name
CLIENT_LEFT_WITH_ACCEPTED
CLIENT_LEFT_WITH_NO_RESOLUTION
CLIENT_LEFT_FOR_UNKNOWN_REASONS
ACCEPTED
HATE_SPEECH
OTHER
RESPONSE_SENT_TO_CLIENT_EMAIL
